Investor Name;Investor Name URL;Number of Investments;Number of Exited Companies;Location;Investor Type;Description;Website;Twitter;Facebook;LinkedIn;Number of Portfolio Companies;Number of Lead Investments;Program Duration;Next Application Deadline;Program Type
ZenStone Venture Capital;https://www.crunchbase.com/organization/zenstone-venture-capital;37;;San Francisco, California, United States;Venture Capital;ZenStone Venture Capital is a Silicon Valley-based venture capital firm founded to bridge Asian capital and global opportunities.;http://www.zenstonevc.com;https://twitter.com/ZenStoneVC;;https://www.linkedin.com/company/zenstone-venture-capital;34;;;;
ZenShin Capital;https://www.crunchbase.com/organization/zenshin-capital;17;5;Menlo Park, California, United States;Venture Capital;ZenShin Capital provides venture capital to companies that deal with customers in Japan.;http://www.zenshincp.com;;;;11;4;;;
Zen Capital Partners;https://www.crunchbase.com/organization/zen-capital-partners;;;Menlo Park, California, United States;Venture Capital;Zen Capital Partners was added in 2013.;http://www.zencapitalpartners.com;;;https://www.linkedin.com/company/5cina;;;;;
Zarco Investment Group;https://www.crunchbase.com/organization/zarco-investment-group;1;;San Francisco, California, United States;Venture Capital;Zarco Investment Group is a United States-based investment company.;http://www.zigfund.com/;;;;1;;;;
Zap Ventures;https://www.crunchbase.com/organization/zap-ventures;3;2;Los Altos Hills, California, United States;Venture Capital;ZAP Ventures is a Silicon Valley-based venture capital firm specializing in early-stage investments, primarly in consumer software,;http://www.zapvc.com;;;;2;1;;;
Yucatan Rock Ventures;https://www.crunchbase.com/organization/yucatan-rock-ventures;1;;Saratoga, California, United States;Venture Capital;Yucatan Rock Ventures is a venture capital firm specializing in incubation, seed/start up, and early venture investments.;http://yucatanrock.com;;;;1;;;;
Yucaipa Corporate Initiatives Fund;https://www.crunchbase.com/organization/yucaipa-corporate-initiatives-fund;1;;Los Angeles, California, United States;Venture Capital;Yucaipa Corporate Initiatives Fund is a financial organization. Nothing is publicly known about the organization. If you have more;;;;;1;;;;
York Ventures;https://www.crunchbase.com/organization/york-ventures;1;;Los Angeles, California, United States;Venture Capital;York Ventures is an early stage VC firm backed by the Gores brothers, Alec, Tom and Sam and is managed by Peter Levin.;http://www.gores.com/team/;https://www.twitter.com;https://www.facebook.com/;;1;;;;
YBR Capital;https://www.crunchbase.com/organization/ybr-capital;;;San Francisco, California, United States;Venture Capital;YBR capital is a seed and series - A venture capital firm looking to invest in startup that will lead the next tech revoloution;http://www.ybrcapital.com;;;;;;;;
Yasuda Enterprise Development;https://www.crunchbase.com/organization/yasuda-enterprise-development;26;12;Menlo Park, California, United States;Venture Capital;Yasuda Enterprise Development, a venture capital firm, finances technology companies based in Japan, the United States, and other countries.;http://www.yedvc.co.jp/english/profile/;;;;19;;;;
Y Ventures;https://www.crunchbase.com/organization/youniversity-ventures;4;1;Palo Alto, California, United States;Venture Capital;Y Ventures is an early-stage venture investment group founded by Jawed Karim, co-founder of YouTube.;http://www.yventures.com/;;;;2;;;;
XSeed Capital;https://www.crunchbase.com/organization/xseed-capital;57;7;Portola Valley, California, United States;Venture Capital;XSeed CapitalÂ provides capital resourcesÂ forÂ entrepreneursÂ to build differentiated technology start-ups.;http://www.xseedcap.com;http://twitter.com/xseedcapital;http://www.facebook.com/xseedcapital;;33;9;;;
Xplorer Capital;https://www.crunchbase.com/organization/xplorer-capital;5;1;San Francisco, California, United States;Micro VC;Emerging Markets Venture Capital;http://www.xplorercapital.com;;;https://www.linkedin.com/company/xplorer-capital;5;4;;;
XL Innovate;https://www.crunchbase.com/organization/xl-innovate;7;;Menlo Park, California, United States;Venture Capital;XL Innovate sponsors global entrepreneurial teams with ideas for approaches, applications and enhancements of insurance & risk management;http://xlinnovate.com/;https://twitter.com/XLInnovate;;https://www.linkedin.com/company/xl-innovate;6;4;;;
XG Ventures;https://www.crunchbase.com/organization/xg-ventures;87;15;Menlo Park, California, United States;Micro VC;XG Ventures focuses on the consumer internet, including the mobile, video, gaming, social media, and online media sectors.;http://www.xg-ventures.com;http://twitter.com/xgventures;http://www.facebook.com/xgventures;https://www.linkedin.com/company/2835770;65;;;;
Xfund;https://www.crunchbase.com/organization/xfund;7;;Menlo Park, California, United States;Venture Capital;Xfund is the early-stage venture capital firm dedicated to finding and supporting technically-gifted liberal arts founders.;http://xfund.com/;https://twitter.com/xfund;https://www.facebook.com/Xfund?fref=ts;https://www.linkedin.com/company/816143?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A816143%2Cidx%3A1-1-1%2CtarId%3A1441825359587%2Ctas%3AXfund;6;;;;
Xerox Venture Capital;https://www.crunchbase.com/organization/xerox-venture-capital;;;San Francisco, California, United States;Corporate Venture Capital;Xerox Venture Capital Companies whose technology or products are strategically relevant to Xerox.;;;;;;;;;
Xandex Investments LLP;https://www.crunchbase.com/organization/xandex-investments-llp;5;1;Petaluma, California, United States;Venture Capital;Xandex Investments, a venture capital firm, focuses on technology start-ups inÂ renewable energy, life science and web applications.;http://www.xandexinvestments.com;;;;5;;;;
X/Seed Capital Partners;https://www.crunchbase.com/organization/x-seed-capital-partners;1;;Portola Valley, California, United States;Venture Capital;X/Seed Capital Partners is a venture capital firm focused on the initial seed stage of an investment.;http://xseedcap.com;;;;1;1;;;
Wyoming Angels Network;https://www.crunchbase.com/organization/wyoming-angels-network;;;San Francisco, California, United States;Angel Group;Wyoming Angels Network is a network of successful entrepreneurs.;http://wyomingangels.weebly.com;https://www.twitter.com/weebly;https://www.facebook.com/weebly;;;;;;
WS Investments;https://www.crunchbase.com/organization/ws-investments;32;12;Palo Alto, California, United States;Venture Capital;WS Investment Co. is the investment fund of law firm Wilson Sonsini Goodrich & Rosati. The fund was formed in 1978 and has been managed;;;;;28;5;;;
WR Hambrecht;https://www.crunchbase.com/organization/wr-hambrecht;27;9;San Francisco, California, United States;Venture Capital;WR Hambrecht + Co is a financial services firm which uses technology and auction processes to provide fair access to financial markets.;http://www.wrhambrecht.com;http://twitter.com/billhambrecht;;http://www.linkedin.com/company/wr-hambrecht---co;26;5;;;
WQ Investments;https://www.crunchbase.com/organization/wq-investments;1;;Los Altos, California, United States;Venture Capital;WQ Investments was added in 2014.;;;;;1;;;;
Worldview Technology Partners;https://www.crunchbase.com/organization/worldview-technology-partners;123;37;San Mateo, California, United States;Venture Capital;Worldview Technology Partners is a leading venture capital firm focused on investing in and building leading U.S. technology companies.;http://www.worldview.com;;;;61;28;;;
World Innovation Lab (WiL);https://www.crunchbase.com/organization/wil;23;2;Palo Alto, California, United States;Venture Capital;World Innovation Lab (WiL) is a US-Japan cross boarder venture capital based in Palo Alto and Tokyo.;http://wilab.com/en;https://twitter.com/wilabcom;;https://www.linkedin.com/company/world-innovation-lab-wil-;16;5;;;
Workday Ventures;https://www.crunchbase.com/organization/workday-ventures;7;2;Pleasanton, California, United States;Venture Capital;Workday Ventures, an investment arm focusing on startups with a machine learning bent.;https://www.workday.com#ventures-content?&_rda=/company/workday_next;;;;6;;;;
Woodside Fund;https://www.crunchbase.com/organization/woodside-fund;46;14;Redwood Shores, California, United States;Venture Capital;Woodside Fund is an early-stage venture capital firm located in Silicon Valley. Woodside focuses on early stage technology companies.;http://woodsidefund.com;;;;27;10;;;
Wonder Ventures;https://www.crunchbase.com/organization/wonder-ventures;18;1;Santa Monica, California, United States;Venture Capital;Investing in entrepreneurs who build the worldâ€™s most innovative technology companies.;http://www.wondervc.com;;;;17;1;;;
Women's Venture Capital Fund;https://www.crunchbase.com/organization/womens-venture-capital-fund;9;;Beverly Hills, California, United States;Venture Capital;WVCF focuses on early stage companies that have raised angel capital, developed their core technology & are demonstrating market traction.;http://www.womensvcfund.com;;;;8;2;;;
Wolverine Angels Network;https://www.crunchbase.com/organization/wolverine-angel-network;1;;Los Angeles, California, United States;Angel Group;Wolverine Angels Network leverages capital and expertise from the global University of Michigan alumni community to accelerate startups.;http://wolverineangels.com;http://twitter.com/WolverineAngels;;;1;;;12/31/2016;
WolfPack Ventures;https://www.crunchbase.com/organization/wolfpack-ventures;;;San Diego, California, United States;Venture Capital;Wolfpack Ventures focuses on early round funding for technology startups, real estate, and consumer services.;http://www.wolfpackventures.com/;;;;;;;;
WMG Investments;https://www.crunchbase.com/organization/wmg-investments;2;1;Los Angeles, California, United States;Venture Capital;According to this site, WMG Investments is: WMG Investments: Finance arm of Wasserman Media Group, LLC (WMG).;http://www.wmgfunds.com;;;;1;;;;
Wireframe Ventures;https://www.crunchbase.com/organization/wireframevc;;;Mill Valley, California, United States;Venture Capital;Wireframe Ventures is a venture capital firm;http://www.wireframevc.com/;;;;;;;;
Wipro Ventures;https://www.crunchbase.com/organization/wiproventure;5;;Mountain View, California, United States;Venture Capital;Wipro Ventures is the strategic investment arm of Wipro Ltd. (NYSE: WIT) and focuses on investing in early- to mid-stage startups.;http://www.wipro.com/ventures/;;;;5;2;;;
Winnick & Company;https://www.crunchbase.com/organization/winnick-company;1;;Beverly Hills, California, United States;Private Equity Firm;Winnick & Company is a Los Angeles-based private investment firm.;http://www.winnickco.com;;;;1;1;;;
Wingspan Ventures;https://www.crunchbase.com/organization/wingspan-ventures;1;;Menlo Park, California, United States;Micro VC;Wingspan Ventures provides consulting and planning services for small businesses looking to grow.;http://wingspanventures.com;;http://www.facebook.com/wingspanventures;;1;;;;
Wings Fund;https://www.crunchbase.com/organization/wings-fund;1;;Santa Barbara, California, United States;Micro VC;Wings Fund is a private investment company that offers business management consulting services.;http://www.wingsfund.com;;;;1;;;;
Wing Venture Capital;https://www.crunchbase.com/organization/wing-venture-capital;36;9;Menlo Park, California, United States;Venture Capital;Wing Venture Capital invests in technology-based businesses.;http://wing.vc;http://twitter.com/wing_vc;http://www.facebook.com/wingventurecapital;http://www.linkedin.com/in/peterwagner414;29;7;;;
Windward Ventures;https://www.crunchbase.com/organization/windward-ventures;29;6;San Diego, California, United States;Venture Capital;Windward Ventures is a venture capital firm that focuses on investments in early-stage, high-growth companies.;http://www.windwardventures.com;https://www.twitter.com/windwardvc;;;13;6;;;
Windsor Media;https://www.crunchbase.com/organization/windsor-media-inc;3;1;Los Angeles, California, United States;Venture Capital;Windsor Media engages in diversified media services.;http://windsormediaproductions.com;;;;3;;;;
Windamere Venture Partners;https://www.crunchbase.com/organization/windamere-venture-partners;7;3;La Jolla, California, United States;Micro VC;Windamere Venture Partners, an early-stage investment firm, finances pharmaceutical, biotechnology, and other healthcare companies.;http://www.windamerevp.com;;;;7;;;;
Wilson Sonsini Goodrich & Rosati;https://www.crunchbase.com/organization/wilson-sonsini-goodrich-rosati;61;19;Palo Alto, California, United States;Micro VC;Wilson Sonsini Goodrich & Rosati provides legal services for technology, life sciences, and other growth enterprises.;http://www.wsgr.com;http://twitter.com/wilsonsonsini;http://www.facebook.com/wilsonsonsini;https://www.linkedin.com/company/166944?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A166944%2Cidx%3A2-1-4%2CtarId%3A1440543007442%2Ctas%3AWilson%20Sonsini%20Goodrich%20%26%20Rosati;54;3;;;
William Morris Agency;https://www.crunchbase.com/organization/william-morris-agency;3;1;Beverly Hills, California, United States;Corporate Venture Capital;William Morris Agency is a talent and literary agency with offices worldwide.;http://www.wma.com;;;;3;1;;;
Wildcat Venture Partners;https://www.crunchbase.com/organization/wildcat-venture-partners;13;1;San Mateo, California, United States;Micro VC;Wildcat Venture Partners invests in early stage technology companies developing breakout solutions to high-value problems.;http://wildcat.vc/;https://twitter.com/WildcatVC;https://www.facebook.com/WildcatVC/?ref=aymt_homepage_panel;https://www.linkedin.com/company/wildcat-venture-partners;12;2;;;
WI Harper Group;https://www.crunchbase.com/organization/wi-harper-group;116;13;San Francisco, California, United States;Venture Capital;WI Harper Group is a venture capital firm that focuses on early and expansion investments in Mainland China, Taiwan and Silicon Valley.;http://www.wiharper.com;https://twitter.com/WIHarperGroup;https://www.facebook.com/6366954021;;84;24;;;
Whitehart Ventures;https://www.crunchbase.com/organization/whitehart-ventures;1;;Venice, California, United States;Venture Capital;Whitehart is a new fund that is based in, and focused on, Los Angeles.;http://www.whitehartventures.com/;;;;1;1;;;
White Oak Global Advisors;https://www.crunchbase.com/organization/white-oak-global-advisors;3;;San Francisco, California, United States;Venture Debt;White Oak Global Advisors, an investment advisor, serves middle-market companies through direct lending programs and other initiatives.;http://www.whiteoaksf.com;;;;3;;;;
White Oak Capital;https://www.crunchbase.com/organization/white-oak-capital;1;1;San Francisco, California, United States;Venture Capital;White Oak Capital assists business owners, private equity funds, investment bankers,with Transition.;http://www.whiteoakcapitalllc.com;;;;1;1;;;
Whelan Capital Management;https://www.crunchbase.com/organization/whelan-capital-management;3;2;Palo Alto, California, United States;Private Equity Firm;Whelan Capital Management is an asset management firm based in California that finances growth companies.;http://www.wgcm.com;;;;2;1;;;
WestSummit Capital;https://www.crunchbase.com/organization/westsummit-capital-management;24;4;Menlo Park, California, United States;Venture Capital;WestSummit Capital is a growth capital firm that invests in technology companies in North America and China.;http://www.westsummitcap.com;http://twitter.com/westsummitcap;http://www.facebook.com/westsummitcapital;http://www.linkedin.com/company/westsummit-capital;14;4;;;
Westlake Venture Partners;https://www.crunchbase.com/organization/westlake-venture-partners;1;;Westlake Village, California, United States;Angel Group;Westlake Venture Partners invests in technology companies through capital investments and private equity.;http://www.westlakevp.com;;;;1;;;;
Westlake International Group;https://www.crunchbase.com/organization/westlake-international-group;1;1;San Mateo, California, United States;Venture Capital;A privately held, diversified investment company with operations in the United States, China, Latin America, Japan, India and Canada.;http://www.westlakeinternational.com/;;;;1;;;;
Western Technology Investment;https://www.crunchbase.com/organization/western-technology-investment;158;37;Portola Valley, California, United States;Venture Capital;Western Technology Investment is a venture capital firm specializing in providing acquisition financing to teams, or revenue generating firm;http://www.westerntech.com;;;;132;10;;;
Western States Investment Group;https://www.crunchbase.com/organization/western-states-investment-group;1;;San Diego, California, United States;Private Equity Firm;Western States Investment Group is a privately held San Diego-based investment firm specializing in providing capital, connections, and;http://www.wsig.com;;;;1;;;;
Western Digital Capital;https://www.crunchbase.com/organization/western-digital-capital;2;1;Irvine, California, United States;Venture Capital;Western Digital Capital;;;;;2;1;;;
Western Asset Management;https://www.crunchbase.com/organization/western-asset-management;;;Pasadena, California, United States;Venture Capital;Western Asset Management was added in 2014.;https://www.westernasset.com;;;;;;;;
West Partners;https://www.crunchbase.com/organization/west-partners;2;;Carlsbad, California, United States;Private Equity Firm;West Partners is a Carlsbad-based private investment firm, with holdings in private and public companies.;http://www.westpartners.com;;;;1;;;;
Wells Fargo Securities;https://www.crunchbase.com/organization/wells-fargo-securities;8;5;San Francisco, California, United States;Private Equity Firm;Wells Fargo Securities, LLC offers a full range of products and services to meet the needs of corporate and institutional clients;http://www.wellsfargoresearch.com/Public/Pages/Home.aspx;;;;7;2;;;
Wells Fargo Capital;https://www.crunchbase.com/organization/wells-fargo-energy-capital;10;3;San Francisco, California, United States;Corporate Venture Capital;Wells Fargo Capital is a financial services company that provides banking, insurance and investment solutions.;https://www.wellsfargo.com;http://twitter.com/wellsfargo;http://www.facebook.com/wellsfargo;http://www.linkedin.com/company/wellsfargo;10;4;;;
Wellington Financial;https://www.crunchbase.com/organization/wellington-financial;37;11;San Francisco, California, United States;Venture Capital;Wellington Financial LP is a privately-held specialty finance firm providing term, venture and amortizing loans up to $40 million;http://www.wellingtonfund.com;http://twitter.com/wellingtonfund;;https://www.linkedin.com/company/wellington-financial;36;11;;;
Weber Capital;https://www.crunchbase.com/organization/weber-capital;13;3;San Francisco, California, United States;Venture Capital;Weber Capital Management, LLC is a crossover investor in mid to late-stage ventures and micro-cap public companies.;http://www.webercapital.com;;;;6;;;;
Waycross Ventures;https://www.crunchbase.com/organization/waycross-ventures;2;;Menlo Park, California, United States;Venture Capital;Investor;;;;;2;;;;
Wavepoint Ventures;https://www.crunchbase.com/organization/wavepoint-ventures;7;4;Menlo Park, California, United States;Venture Capital;Wavepoint invests in capital efficient seed and early-stage companies in the medical, information and clean technology sectors.;http://www.wavepointventures.com;http://twitter.com/wavepointvc;;;7;2;;;
Wavemaker Partners;https://www.crunchbase.com/organization/siemer-ventures;187;22;Santa Monica, California, United States;Venture Capital;Wavemaker Partners is a venture capital firm specializing in investments in seed, startup, early stage, bridge financing, and growth capital;http://wavemaker.vc;https://twitter.com/wavemaker_vc;http://www.facebook.com/siemer.ventures;https://www.linkedin.com/company/6407823;146;15;;;
Waveland Venture Partners;https://www.crunchbase.com/organization/waveland-venture-partners;2;1;Irvine, California, United States;Venture Capital;Waveland Venture Partners, a California-based venture capital firm, offers investment banking and alternative investment services.;http://www.wavelandgroup.com;;;;1;;;;
Wareness.io;https://www.crunchbase.com/organization/wareness-io;13;;San Francisco, California, United States;Micro VC;Wareness.io is a marketing accelerator and seed investor fund that caters to hardware startups.;http://www.wareness.io;http://twitter.com/warenessio;http://www.facebook.com/warenessio;http://www.linkedin.com/company/wareness-io;9;;;;
Walden Venture Capital;https://www.crunchbase.com/organization/waldenvc;66;17;San Francisco, California, United States;Venture Capital;Walden Venture Capital is a San Francisco-based investment firm specializing in digital media and cloud services.;http://www.waldenvc.com;http://twitter.com/waldenvc;https://www.facebook.com/WaldenVC;https://www.linkedin.com/company/walden-venture-capital;47;24;;;
Walden Riverwood Ventures;https://www.crunchbase.com/organization/walden-riverwood-ventures;20;;San Francisco, California, United States;Venture Capital;Walden Riverwood Ventures is a venture capital fiirm specializing in early stage investments.;http://www.wrvcapital.com/;;;;15;10;;;
Walden International;https://www.crunchbase.com/organization/walden-international;140;44;San Francisco, California, United States;Venture Capital;A venture capital firm with over $1.6 billion in investments, Walden international had offices globally and invests in four sectors:;http://www.waldenintl.com;;https://www.facebook.com/groups/129957870401974/;;89;18;;;
Vuma Pacific;https://www.crunchbase.com/organization/vuma-pacific;;;Emeryville, California, United States;Private Equity Firm;Vuma Pacific is a holdings/ management company operating in various industries with emphasis on the technology sector.;http://www.vumapacific.com;https://twitter.com/VumaPacific;https://www.facebook.com/pages/Vuma-Pacific/620080118137284;http://www.linkedin.com/in/vumapacific/;;;;;
VSP Capital;https://www.crunchbase.com/organization/vsp-capital;8;5;San Francisco, California, United States;Venture Capital;VSP Capital is a venture capital firm.;http://www.vsplp.com;;;;7;1;;;
VSL Partners;https://www.crunchbase.com/organization/vsl-partners;;;San Francisco, California, United States;Micro VC;VSL Partners provides financing to stockholders of the best venture-backed, pre-IPO companies secured by their private stock.;http://www.vslp.com;;;;;;;;
VPSA;https://www.crunchbase.com/organization/vpsa;1;1;Palo Alto, California, United States;Venture Capital;VPSA was acquired by Global Asset Capital, LLC.;;;;;1;;;;
Voltage Capital;https://www.crunchbase.com/organization/voltage-capital;;;Belvedere Tiburon, California, United States;Private Equity Firm;Voltage Capital invests in small businesses by providing technology, marketing as well as Capital Investments to make small business big.;http://www.voltagecap.com;http://twitter.com/voltage_capital;;;;;;;
VoiVoda Ventures;https://www.crunchbase.com/organization/voivoda-ventures;7;;San Francisco, California, United States;Micro VC;Founded in 2009, VoiVoda Ventures is a California-based early-stage investment fund focused on B2B technology companies.;http://www.voivoda.com;http://twitter.com/VoiVodaVentures;http://www.facebook.com/pages/Voivoda-Labs/119044414849074;http://www.linkedin.com/company/voivoda;6;;;;
VKRM Ventures;https://www.crunchbase.com/organization/vkrm-ventures;4;;Los Altos, California, United States;Venture Capital;VKRM is a boutique early stage venture capital firm committed to supporting entrepreneurs to build innovative and industry leading;http://www.vkrm.com;http://twitter.com/VKRMServices;;http://www.linkedin.com/company/vkrm-services;4;;;;
Vivo Capital;https://www.crunchbase.com/organization/vivo-capital;68;27;Palo Alto, California, United States;Venture Capital;Vivo Capital is an investment company focused on private and public healthcare companies in the U.S. and greater China.;http://bioasia.com;;;http://www.linkedin.com/company/vivo-capital;44;16;;;
Viventures;https://www.crunchbase.com/organization/viventures;21;7;San Mateo, California, United States;Venture Capital;Set up in September 1998, Viventures is a venture capital fund with a presence in the United States (San Mateo) and in Europe (Paris).;http://www;;;;20;3;;;
Viterbi Group;https://www.crunchbase.com/organization/viterbi-group;8;4;San Diego, California, United States;Angel Group;The Viterbi Group, LLC is an equity investment fund established in 2000 by Andrew Viterbi, a founder of Qualcomm.;;;;;5;;;;
Visionnaire Ventures;https://www.crunchbase.com/organization/visionnaire-ventures;46;4;San Francisco, California, United States;Venture Capital;Visionnaire Ventures is a global technology investment firm focused on visionary people and ideas that can become market leaders.;http://www.visionnaire.vc;;;https://www.linkedin.com/company/visionnaire-ventures;35;12;;;
Visa Marketplace;https://www.crunchbase.com/organization/visa-marketplace;3;2;San Francisco, California, United States;Venture Capital;Visa Marketplace, Inc. is no longer investing. It is an private equity and venture capital arm of Visa International Service Association.;;;;;2;;;;
Visa International Service Association;https://www.crunchbase.com/organization/visa-international-service-association;7;6;Foster City, California, United States;Venture Capital;Visa International Service Association owns and operates retail electronic payments network worldwide.;http://www.visa.com;https://www.twitter.com/visa;https://www.facebook.com/visaunitedstates;;7;;;;
Vintage Fund;https://www.crunchbase.com/organization/vintage-fund;1;;Los Angeles, California, United States;Venture Capital;Vintage Fund is a private investment fund, making private investments in western Canadian companies.;http://www.vintage-vfm.com;;;;1;1;;;
VII Peaks Capital;https://www.crunchbase.com/organization/vii-peaks-capital;2;;Orinda, California, United States;Venture Capital;Investment management firm based in Orinda, California;http://www.viipeakscapital.com/;;;;1;1;;;
Vicente Capital Partners;https://www.crunchbase.com/organization/vicente-capital-partners;4;;Los Angeles, California, United States;Venture Capital;Vicente Capital Partners is a Los Angeles-based investment firm that finances privately-held growth companies in North America.;http://www.vicentecapital.com;;;;4;2;;;
VFormation;https://www.crunchbase.com/organization/vformation;3;;Berkeley, California, United States;Venture Capital;Vformation LLC is a capital investment firm that invests in a variety of asset classes, including private investments in early stage growth;http://vformation-sf.com;;;;3;;;;
Vertical Venture Partners;https://www.crunchbase.com/organization/vertical-venture-partners;11;;Santa Clara, California, United States;Venture Capital;Vertical Venture Partners is a venture capital firm focused on investments in companies that target specific vertical markets;http://www;https://twitter.com/Sierra_Ventures;https://www.facebook.com/SierraVentures/about/?entry_point=page_nav_about_item;https://www.linkedin.com/company/sierra-ventures;8;2;;;
Vertex Ventures;https://www.crunchbase.com/organization/vertex-ventures;198;35;Palo Alto, California, United States;Venture Capital;Vertex is a network of funds that invests in and nurtures technology companies around the world from early-stage to exit.;http://www.vertexventures.com;https://twitter.com/VertexVC;https://www.facebook.com/pages/Vertex-Venture-Capital/307311556017124;https://www.linkedin.com/company/vertex-ventures;132;86;;;
Vert Capital;https://www.crunchbase.com/organization/vert-capital;5;;Los Angeles, California, United States;Private Equity Firm;Vert Capital Corp is a merchant bank and financial advisory firm focused on small and middle market companies worldwide.;http://www.vertcapital.com;;;http://www.linkedin.com/company/vert-capital-corp;5;1;;;
Versant Ventures;https://www.crunchbase.com/organization/versant-ventures;201;52;Menlo Park, California, United States;Venture Capital;Versant Ventures caters to the healthcare sector with early and later stage venture, private equity, and debt financing investments.;http://www.versantventures.com;;;http://www.linkedin.com/company/versant-ventures;114;51;;;
VentureTech Alliance;https://www.crunchbase.com/organization/venturetech-alliance;40;15;San Jose, California, United States;Venture Capital;TechAlliance empowers London and Southwestern OntarioÃ¢â‚¬â„¢s technology sector. They prepare todayÃ¢â‚¬â„¢s entrepreneurs to launch new ventures,;http://www.vtalliance.com;;https://www.facebook.com/techalliance;;23;2;;;
VentureHealth;https://www.crunchbase.com/organization/venturehealth;3;;San Jose, California, United States;Micro VC;VentureHealth is an investment portal for accredited investors who want access to high growth opportunities in the healthcare sector.;http://www.venturehealth.com;http://twitter.com/venture_health;;http://www.linkedin.com/company/venturehealth;2;;;;
Venture51;https://www.crunchbase.com/organization/venture51;56;12;San Diego, California, United States;Venture Capital;Venture51 is a California-based venture capital firm that provides seed- and early-stage funding to technology companies.;http://www.venture51.com;http://twitter.com/venture51;http://www.facebook.com/venture51;http://us.linkedin.com/company/venture51;48;6;;;
Venture Management Associates;https://www.crunchbase.com/organization/venture-management-associates;1;1;Ventura, California, United States;Private Equity Firm;Venture Management Associates (VMA) is a private investment banking and corporate development firm .;http://www.venturemanagement.com;;;;1;;;;
Venture Lending & Leasing V;https://www.crunchbase.com/organization/venture-lending-leasing-v;2;;Portola Valley, California, United States;Venture Capital;Venture Lending & Leasing V, Inc., a business development company, provides financing and advisory services to various venture-backed;;;;;1;;;;
